,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,GEOID_Data,Aldi 46,Aldi 48,Aldi Inc 40,Aldi Inc 41,Aldi Inc 42,Aldi Inc 43,Aldi Inc 75,Bakers Supermarket 300,Bakers Supermarket 301,Bakers Supermarket 302,Bakers Supermarket 311,Bakers Supermarket 315,Bakers Supermarket 316,Bakers Supermarket 318,Bakers Supermarket 319,Bakers Supermarket 320,Bakers Supermarket 321,Benson Farmers Market Inc,Family Fare 774,Family Fare 776,Family Fare 779,Family Fare 780,Family Fare 784,Family Fare 785,Family Fare 788,Family Fare 795,Family Fare 797,Family Fare 799,Family Fare 800,Family Fare 811,Fareway Stores Inc 043,Fareway Stores Inc 049,Fareway Stores Inc 132,Fresh Thyme Farmers Market 903GHK,Fresh Thyme Farmers Market 904LAK,Fresh Thyme Farmers Market 905MIL,Huffman Produce,Hy-Vee 11 1478,Hy-Vee Food Store 1465,Hy-Vee Food Store 1466,Hy-Vee Food Store 1467,Hy-Vee Food Store 1469,Hy-Vee Food Store 1470,Hy-Vee Food Store 1471,Hy-Vee Food Store 1472,Hy-Vee Food Store 1474,Hy-Vee Food Store 1514,Hy-Vee Food Store 1535,Mary's Fruit & Vegetables,Nelson Produce,Omaha Farmers Market,Target 0532,Target Stores T- 0530,Target Stores T- 1537,Target Stores T- 1777,Target Stores T- 2010,Target Stores T- 2125,Target Stores T- 2326,Target Stores T- 2383,Trader Joe's 719,Vitamin Cottage Natural Food Market 1,Vitamin Cottage Natural Food Market 2,Walmart Neighborhood Market 3152,Walmart Neighborhood Market 3153,Walmart Neighborhood Market 3154,Walmart Neighborhood Market 3172,Walmart Neighborhood Market 3173,Walmart Neighborhood Market 4138,Walmart NEIGHBORHOOD MARKET 4139,Walmart SC 1637,Walmart SC 1671,Walmart SC 2847,Walmart SC 3267,Walmart SC 4358,Walmart SC 4600,Walmart SC 5141,Walmart SC 5361,Walmart SuperCenter 3151,Whole Foods Market,Wohlners Midtown Grocery And Deli LLC,Min Distance
11,48,31,55,2200,2,3.11E+11,Block Group 2,G5030,S,242447,0,41.2460851,-95.9285295,0.02315204,2.60E-05,15000US310550022002,13.63127068,4.966291625,6.044746632,2.702053903,10.04887752,4.145195335,7.139984141,7.54849167,6.12575503,9.026607425,7.811110915,10.43053055,5.756549205,6.485320126,3.025428105,13.41021494,11.85281626,4.95380714,8.406860638,5.184782358,3.499005954,6.94960149,11.04723481,8.39913722,7.341019221,5.828066464,3.061343216,7.692801387,1.39578663,15.89294433,13.67219929,7.096735314,7.037449869,11.76221986,13.5835619,10.02936622,7.47749018,13.70908858,3.363114824,11.66498449,9.048139654,6.415028458,5.792015483,10.01216531,14.08477932,12.28486,9.088255166,7.548772133,0.706162948,9.087319924,0.605079007,8.176334394,10.30903397,7.5347617,13.81002369,7.099609613,5.072511289,13.42443947,9.658129002,7.523697198,13.63422589,5.639595366,6.880358014,13.35639061,8.925484764,4.023496417,8.365191736,10.33417116,2.934705354,8.618740094,6.964057032,6.138989641,14.00897236,4.957266743,14.20263885,13.44123185,9.885842346,4.935315545,7.398940056,1.929553311,0.605079007
12,49,31,55,7445,1,3.11E+11,Block Group 1,G5030,S,1850161,0,41.2706673,-96.0690452,0.056467686,0.000198821,15000US310550074451,6.14304277,2.675029035,10.08300921,6.948883557,3.638725259,6.234388049,1.611640601,10.37565853,3.038021,3.047767024,2.869578188,3.031181736,6.943364815,11.32994844,4.501691319,6.557818599,4.523653335,4.26578655,4.491878001,6.699929185,5.057271072,1.235294645,4.501616374,1.238869149,12.08918226,6.971959802,4.586131437,6.701747523,6.883104219,9.092223873,8.06924543,6.952844326,1.405360454,4.289243571,6.730800938,3.70057674,10.32332233,6.57257814,4.437780048,6.288336562,2.595174894,2.688825982,1.702045451,2.634860953,7.897530923,4.79878375,9.553412696,4.521746789,7.426101919,4.067866894,7.274603155,7.42512321,2.938377984,10.37167804,6.958148124,4.114510607,2.430283386,5.936472126,4.472865496,1.53656068,6.831376913,1.891620195,1.133020166,7.736404264,12.45732891,5.674317194,6.528821323,2.935832773,4.626557317,3.109391537,7.100408879,10.46495688,7.168967224,2.956352564,10.17271845,5.954056128,4.616646597,4.495009776,0.687809504,5.659086509,0.687809504
13,50,31,55,3401,2,3.11E+11,Block Group 2,G5030,S,272311,0,41.2337388,-95.9714179,0.027603138,2.92E-05,15000US310550034012,11.73563698,3.001367677,5.342293436,1.518988035,7.799042346,4.797965493,5.761879565,6.410378428,5.233491924,6.761587464,6.75552777,8.701773863,6.445262964,6.264894446,1.407196425,11.16571167,9.784855693,4.573846154,6.024389918,3.23301894,1.116526846,5.45095181,8.78946563,6.75397536,7.11296835,6.513989662,2.31836211,5.480288847,1.271188613,13.6140293,11.29637811,4.984743269,5.596109608,9.941043855,11.33694742,7.768598438,6.341280434,11.5341953,1.235990176,9.291838342,7.680840381,4.135616061,4.003919902,8.01248188,11.74117438,10.4203106,7.281164595,5.164901614,1.984412943,6.733407335,2.571500797,6.038558257,8.602359521,6.399560381,11.56050377,6.534685642,3.288748341,11.53644606,7.300785728,5.394878311,11.37704299,3.785377107,5.341751265,10.98260143,8.178087389,1.810220188,6.081463269,8.605973393,2.060958607,7.50384042,4.898692188,5.600451735,11.75476679,2.828482733,11.85684893,11.56172586,7.528880903,4.66955943,5.433182364,1.873357624,1.116526846
14,51,31,55,6000,4,3.11E+11,Block Group 4,G5030,S,306818,0,41.3031848,-95.9781145,0.023814808,3.30E-05,15000US310550060004,10.72766215,4.256776403,10.09790042,6.239594673,8.780508625,1.122456407,3.968853072,11.21487378,2.388010074,7.996506656,3.886870911,7.39258745,1.926883963,10.86629788,3.651219653,11.77591324,9.611613919,0.959284308,8.577364896,7.821254613,5.307654085,4.098131889,9.697839663,5.487362581,11.73096921,1.979333918,2.532726907,9.43685162,5.20541006,14.30289115,13.128822,9.210011868,4.03178167,8.809475958,11.94792791,8.822316171,11.14611946,11.72473184,4.342143045,11.21986922,5.450787438,6.087250585,4.137927368,7.761840999,13.08385912,9.397572237,11.77653522,8.078656476,5.154569385,8.683535902,4.159455302,10.1265273,7.234549561,11.20428211,12.17410265,2.640847219,3.852368454,10.5141639,9.210390352,6.215356068,12.05222964,4.235601431,4.142446178,12.79286665,12.9670957,6.30218673,9.740225179,7.306488757,2.791571723,4.661356251,9.209021456,10.31401421,12.38502438,4.701424857,14.74534775,10.50760949,9.404024708,0.734488151,5.58519609,3.130439768,0.734488151
15,52,31,55,7002,1,3.11E+11,Block Group 1,G5030,S,395530,0,41.2288085,-95.9843967,0.030602212,4.25E-05,15000US310550070021,11.23000323,2.601459549,5.250224701,1.692074919,7.140415745,5.277932169,5.545530444,6.125514469,5.229501188,6.098242265,6.644004532,8.286457779,6.886850763,6.306158904,1.513952159,10.5019149,9.21029729,4.779048208,5.278823774,2.69849674,0.362709836,5.190911634,8.123570991,6.399594147,7.129385754,6.953399647,2.613081148,4.779376472,1.944393485,12.92991476,10.55662612,4.329979766,5.357172166,9.476393185,10.67180845,7.103966087,6.058751172,10.90382657,0.971139605,8.554899965,7.429084415,3.481304778,3.654662824,7.480155541,11.02324778,9.93413329,6.726587008,4.412588618,2.702143218,6.013236734,3.321517259,5.364321878,8.197502765,6.116037508,10.89355691,6.605852102,2.981005317,11.03489519,6.577353177,4.820869856,10.70648049,3.409471357,5.066932572,10.2446148,7.998820056,1.190988813,5.351410086,8.191788544,2.355173479,7.354412628,4.265474459,5.556552455,11.08517583,2.322954579,11.10548612,11.06369733,6.805471276,4.906225476,4.947872375,2.455680308,0.362709836
16,53,31,55,500,1,3.11E+11,Block Group 1,G5030,S,6334640,1307077,41.2746773,-95.9275072,0.253347381,0.000821439,15000US310550005001,13.37094215,5.240442399,8.011811901,4.483401074,10.42622692,2.430173669,6.589867103,9.474428316,5.257277426,9.466027343,6.933092385,10.05535325,3.907731339,8.450363298,3.480835045,13.70904626,11.86682321,3.842895305,9.286514639,6.800434896,4.659153651,6.527525482,11.41793294,8.023231921,9.302179383,3.977640137,2.824011925,9.105988838,3.151356279,16.24175562,14.40782395,8.61238544,6.554048912,11.45231882,13.88444857,10.4307835,9.403288173,13.86459858,4.106774038,12.40340994,8.369951142,6.997482189,5.772649873,9.979903913,14.6495456,12.01413382,10.81396789,8.527624515,2.651470555,9.773781849,1.386453686,9.669468046,9.914014011,9.46111239,14.11409216,5.894318405,5.142766357,13.15842338,10.34606823,7.783202073,13.95809153,5.707630882,6.502458916,14.07965,10.89776365,5.439682325,9.674449984,9.961711094,2.87064871,7.742899781,8.517694065,8.113167577,14.32082099,5.424964467,15.33780049,13.16425952,10.56742873,3.740606118,7.44372821,2.02135963,1.386453686
17,54,31,55,7467,1,3.11E+11,Block Group 1,G5030,S,304548,0,41.2035677,-96.0567613,0.025611714,3.27E-05,15000US310550074671,8.962115032,3.755773433,6.632105369,5.160301446,4.035845557,8.57744737,6.008562578,6.313667075,6.777656919,3.135853377,7.373715624,6.947318766,9.923740574,8.041663828,4.888522956,7.088816482,6.597964756,7.237983962,1.300217293,3.281847363,3.780991957,5.536632858,4.837183424,5.834980118,8.625811885,9.977424501,5.869843953,2.057495696,6.01171121,9.29019785,6.516512717,2.498885752,5.759782636,7.645791343,7.241003359,3.944053216,6.277287499,7.738082105,4.213432135,4.561320123,7.253551657,2.131919252,4.245584107,5.428525987,7.154362666,7.906631551,4.92688842,0.365747005,6.799944948,2.359944743,7.44746837,2.761597363,6.942082604,6.314169967,7.439879845,8.198376596,4.218230116,8.809088585,2.816835992,3.231131686,7.230577069,4.025845986,5.377110192,6.221192021,8.401235297,3.427942281,1.88837021,6.874836684,5.691773343,7.75566914,2.713459422,7.07429405,7.603733663,3.297095404,7.02332173,8.860359515,3.026665896,7.450505852,4.003097259,6.305657441,0.365747005
18,55,31,55,7002,2,3.11E+11,Block Group 2,G5030,S,501168,0,41.2250615,-95.9837309,0.035618973,5.38E-05,15000US310550070022,11.3634623,2.794045942,5.000188792,1.519972522,7.197124857,5.518241329,5.768217889,5.86450476,5.481632242,6.153335084,6.882408898,8.455195074,7.133871636,6.072137743,1.774549339,10.55141283,9.314383817,5.040024002,5.24213863,2.455652593,0.394356616,5.405607968,8.173658217,6.589111581,6.890757651,7.200735544,2.869192906,4.606568513,1.952104093,12.96223273,10.52690649,4.129036882,5.575840732,9.627024636,10.72020215,7.15634017,5.797748678,10.97550492,1.21998194,8.531183172,7.641929596,3.5522326,3.853716255,7.606153812,11.02380289,10.07628917,6.492865423,4.357123963,2.731811047,6.015880988,3.439970052,5.174249798,8.369654004,5.855030909,10.94046229,6.86264907,3.193916569,11.17014055,6.575062269,4.933437487,10.75078194,3.602736794,5.278747384,10.21810517,7.740478521,0.964620322,5.206216399,8.360999565,2.610593118,7.586407302,4.054819332,5.311608861,11.1299723,2.483168207,10.99760225,11.200332,6.80289927,5.1668224,5.098725282,2.668068908,0.394356616
19,56,31,55,6202,5,3.11E+11,Block Group 5,G5030,S,430606,0,41.3184101,-95.9607012,0.033583525,4.63E-05,15000US310550062025,11.74963646,5.635427175,11.02422108,7.207318234,10.11156724,1.132127612,5.147585908,12.2607173,3.545468339,9.353588263,4.790899128,8.451201932,0.580650629,11.67025545,4.864127601,13.03513216,10.8020574,2.28939776,9.962607229,9.005317587,6.508798756,5.341608674,11.01141288,6.647881358,12.53453666,0.645985822,3.729373718,10.75209073,6.043129009,15.54781986,14.48415782,10.48623898,5.246548028,9.854876093,13.20536146,10.15815168,12.19074886,12.93180841,5.581624752,12.58816701,6.398632805,7.472320933,5.514386731,8.985468081,14.40460585,10.44816411,13.00924877,9.454687312,5.828470255,10.06365392,4.668187093,11.42988416,8.287605671,12.24925558,13.42943668,3.284983338,5.23768615,11.53786268,10.58705146,7.576067154,13.31589708,5.618705352,5.404945654,14.14832807,13.91914813,7.489479898,11.08644306,8.370587335,3.975224159,5.486861781,10.47032429,11.20063649,13.64012956,6.070303466,16.13120892,11.52494611,10.77862493,2.054904259,6.918293943,4.052849903,0.580650629
20,57,31,55,7312,2,3.11E+11,Block Group 2,G5030,S,254942,0,41.3102349,-96.068912,0.021982095,2.74E-05,15000US310550073122,6.129354687,4.649812145,12.2898863,8.775796818,5.821926382,5.855687326,1.597547778,12.80526001,2.47849909,5.534008082,0.853682922,2.920033452,5.873971754,13.42609645,5.932893486,7.985250078,5.537735102,3.930948461,7.206641723,9.080647657,7.034108186,2.015229232,6.452000994,1.792863076,14.23449496,5.875046357,5.474466381,9.393248037,8.337357848,10.36444865,10.1625694,9.584428401,1.813789656,4.270920642,8.140267035,5.918278402,12.7479872,7.657546777,6.178422519,8.599579103,0.7743589,5.334593115,3.618093582,4.00331132,9.71186796,4.863337422,12.22214102,7.249849062,8.681114981,6.676294908,8.140507299,10.12296381,2.751834095,12.79965377,8.346325643,2.418346092,4.181832894,5.919637179,7.006531111,4.258083773,8.279621308,3.894018789,2.166474602,9.845082296,14.84602119,7.844910933,9.255674897,2.853735023,5.635834293,0.395775858,9.711000949,12.6338997,8.549327236,5.104066687,12.6322781,5.902507421,7.114645573,4.08203254,3.41910181,6.597369286,0.395775858
